"Date","Value"
"12/05/1968",2.4375
"12/06/1968",2.4475
"12/09/1968",2.4363
"12/10/1968",2.4375
"12/11/1968",2.4463
"12/12/1968",2.45
"12/13/1968",2.4575
"12/16/1968",2.455
"12/17/1968",2.4488
"12/18/1968",2.4475
"12/19/1968",2.4488
"12/20/1968",2.4625
"12/23/1968",2.4788
"12/24/1968",2.46
"12/26/1968",2.4625
"12/27/1968",2.4625
"12/30/1968",2.4663
"12/31/1968",2.4663
"01/02/1969",2.465
"01/03/1969",2.4638
"01/06/1969",2.47
"01/07/1969",2.4725
"01/08/1969",2.4938
"01/09/1969",2.4913
"01/10/1969",2.4825
"01/13/1969",2.445
"01/14/1969",2.4425
"01/15/1969",2.4513
"01/16/1969",2.4588
"01/17/1969",2.455
"01/20/1969",2.455
"01/21/1969",2.455
"01/22/1969",2.4563
"01/23/1969",2.465
"01/24/1969",2.4625
"01/27/1969",2.4575
"01/28/1969",2.455
"01/29/1969",2.455
"01/30/1969",2.455
"01/31/1969",2.4575
"02/03/1969",2.4525
"02/04/1969",2.4563
"02/05/1969",2.4563
"02/06/1969",2.4575
"02/07/1969",2.4538
"02/10/1969",2.4475
"02/11/1969",2.4463
"02/12/1969",2.4475
"02/13/1969",2.4488
"02/14/1969",2.435
"02/17/1969",2.43
"02/18/1969",2.4313
"02/19/1969",2.4413
"02/20/1969",2.435
"02/24/1969",2.4325
"02/25/1969",2.43
"02/26/1969",2.4275
"02/27/1969",2.43
"02/28/1969",2.4388
"03/03/1969",2.43
"03/04/1969",2.435
"03/05/1969",2.4138
"03/06/1969",2.41
"03/07/1969",2.4063
"03/10/1969",2.3988
"03/11/1969",2.3988
"03/12/1969",2.3963
"03/13/1969",2.3913
"03/14/1969",2.3875
"03/17/1969",2.3763
"03/18/1969",2.375
"03/19/1969",2.375
"03/20/1969",2.3788
"03/21/1969",2.3775
"03/24/1969",2.3788
"03/25/1969",2.3875
"03/26/1969",2.385
"03/27/1969",2.3875
"03/28/1969",2.3975
"04/01/1969",2.3925
"04/02/1969",2.3825
"04/03/1969",2.3875
"04/07/1969",2.39
"04/08/1969",2.395
"04/09/1969",2.395
"04/10/1969",2.395
"04/11/1969",2.3938
"04/14/1969",2.3875
"04/15/1969",2.3925
"04/16/1969",2.3963
"04/17/1969",2.3938
"04/18/1969",2.3925
"04/21/1969",2.39
"04/22/1969",2.385
"04/23/1969",2.3888
"04/24/1969",2.3925
"04/25/1969",2.3975
"04/28/1969",2.4025
"04/29/1969",2.3988
"04/30/1969",2.3975
"05/01/1969",2.4
"05/02/1969",2.4063
"05/05/1969",2.41
"05/06/1969",2.4163
"05/07/1969",2.4113
"05/08/1969",2.4075
"05/09/1969",2.4075
"05/12/1969",2.4113
"05/13/1969",2.4125
"05/14/1969",2.4175
"05/15/1969",2.4175
"05/16/1969",2.4175
"05/19/1969",2.4175
"05/20/1969",2.415
"05/21/1969",2.415
"05/22/1969",2.4163
"05/23/1969",2.405
"05/26/1969",2.3938
"05/27/1969",2.4
"05/28/1969",2.3975
"05/29/1969",2.3875
"06/02/1969",2.3888
"06/03/1969",2.3825
"06/04/1969",2.38
"06/05/1969",2.385
"06/06/1969",2.3875
"06/09/1969",2.395
